TG Number,TG Name
101,Tac-101
102,Tac-102
103,Tac 103
104,Tac-104
105,Tac-105
106,Tac-106
107,Tac-107
108,Tac-108
109,Tac-109
110,North America
111,Europe
112,Asia Pacific
113,World Wide English
114,World Wide
115,HAM BAND HOOK UP
116,United Kingdom
117,THE HF/MESHTASTIC MASH
118,LUSOFONA (Echolink)
119,The Complaint Department
120,N4LLC Allstar HUB
121,UK 1 to 1 Chats
122,Fun House Chat
123,Trucker Talk
124,BlueDV/DudeStar
125,Drink Beer Get Drunk Talk DMR
126,Debate
127,KC1MAC
128,Network Radios
129,DMR-Current Events-Emcomm
130,TGIF SKYWARN
131,Pirate Signal Broadcasting
132,Connecticut
133,133
134,TGIF 24/7 lounge
135,Northern New Mexico
136,Japan 136
137,NRT JPN Group
138,XLX138 XNexus Thailand
139,Kingman Arizona
140,Ham Projects
141,US Australia Mateship
142,W6MDA Talk Group
143,Ham Support
144,Allstar Echolink Connection 
145,NFLARC
146,Computer Lounge
147,TG IND
148,XLX148 Thailand
149,XLX149 Thailand
150,SSTV
151,Wild West Amateur Radio Club
152,Beginners Lounge
153,FRANKLIN MOUNTAIN DIGITAL
154,HELLAS - MAGNESIA
155,Caldwell County Severe WeatherNet
156,Lenoir Amateur Radio Group
157,Caldwell County AUXCOMM
158,HELLAS-29250MHz FM
159,Iu7nlw
160,Urban Ops
161,West Indies
162,Campfire Chat
163,Bluegrass Kentucky SkyWarn
164,K4FSG
165,XLX165-DIGITAL VOICE GREECE
166,Route 66
167,dragon dragon dragon
168,Owariasahi Aichi DMR digipeater (i-ro-ha)
169,PacNW WA Hams
170,The Gentlemans Club HF DX Group
171,DX WORLD-WIDE
172,11 Cats
173,New Ham Elmer's Shack
174,American Weather Spotters
175,JDCC Group
176,ORLANDO FLORIDA MEET UP
177,Spiritual Thetahealing Worldwide
178,Buxton Radio Club
180,CRARC
181,Old Buzzards
182,ATV (All Terrain Vehicles)
183,CPS - Radio Code Plug software
184,AARN
185,HBG-PA Ragchew
186,Klamath County CERT
187,BoneHead Digital
188,dragon dragon dragon
189,189
190,NWPA DMR
191,Photography
192,DEJIPIKEN
193,Bate papo
194,Hitachi AllStarLink
195,N.Va I-95 and Surrounding Area TG
196,QuadNet Tech Chat
197,GR DMR to YSF
198,Technology First
199,Ham Radio Works
200,Suffolk Ham Works
201,Testing/Experimentation
202,Testing/Experimentation
203,Florida Skywarn spotters network 
204,IK5TWZ Talkgroup
205,Elevated RF
206,BELGIUM MAIN TALKGROUP
207,Northern Maine Group
208,North Idaho Network
209,Oregon ARES
210,Bridgecom Systems Users
211,HELLAS CQ Zone - DX HF Net
212,NRT2 JPN Group
213,Los Angeles California
214,Southern Pennsylvania Amateur Radio Club
215,Philadelphia
216,216
217,Ham Radio Society of Catalonia
218,Klamath Basin Amateur Radio Association
219,Ham Vegas
220,KC5T 220Mhz 
221,Sherlock Hams
222,CERT-SPAIN
223,FreeDMR-ITALY
224,Amateur Television Network
225,Sapporo Japan
226,Romania
228,Switzerland
229,DMR in KIJ
230,OK1KKY
231,North Ottawa Amateur Radio Club (NOARC)
232,Austria
233,233
234,UK Leicestersire
235,235 Alive
236,HamCam
237,CQ-WORLD
238,Denmark
239,URF401 RI Bridge
240,Sweden
241,Pacific Communications
242,NORWAY
243,TG-243
244,South Devon Radio Club G4SSD
245,Hitachi Digipeater
246,STARFIELD ARC
247,UK RAGCHEW
248,LincsLink
249,Possum Lodge
250,CCARS
251,Test TG
252,Northeast NC
253,KC3YWT
254,Pi-Star
255,HAM Radio Thailand
256,WX4ALA TG256
258,KW4U hangout
260,Poland
261,PU2RZV QRVP
262,GGM Radio
265,SCARSVOIP
267,pasola club
268,Portugal Nacional
269,BASS/Crappie Fishing
270,Johnston Amateur Radio Society 
271,Hertz + Daggers
272,Colorado Repeater Association
275,Prepping-Preparing-Everyday Carry Gear
276,Southwestern Virginia
277,Yokohama Bayside Radio
278,Malta
281,Sandbar Nation
284,Bulgaria
286,Turkey
287,North New Jersey
288,Faroe Islands
289,Iwaki289
290,YSF_America_Link
293,P25 talk
294,Makedonija
295,Digital Watering Hole
296,Hitachi Digipeater (VHF)
297,TG297
300,The Cigar Lounge
302,Canada Wide 
303,NorvinHamclub
304,Appalachian Repeater Association digital link
305,HAM and IT
306,Appalachian-Weather-WV-1
307,Wyoming
308,The Palmetto Campfire Chat 
309,Western Illinois
310,InterConnection Enjoy Room
311,Japanese TGIF 311
312,West Central Florida
313,Ogemaw County ARES RACES Group
314,PA CREW
315,FCARCNC
317,Indy 317
318,Michigan
319,YLSystem
320,QuadNet Array
321,1776
322,Link dei due golfi
323,California State (323)
324,Gulfcoast Amateur Radio Club
325,FreeSTAR Worldwide
326,Fireside Radio Network
327,Side by Side Chat
328,Thin Blue Line Users
329,Skymira-Demo
330,Puerto Rico
333,Pecos County ARC
334,Mexico
335,Roach Radio
340,USVI
343,Southern Auxcomm Amateur Radio Group
344,WM7C
345,Rockingham Co NC ARC
347,Digital Advance
349,hkc
350,KOTA-LINK
351,ATEAM
352,Friendliest Repeater Link
353,Nixa (NPS)
354,Big Kahuna's House
356,Digital Learning Net
357,All Freemasons Worldwide
358,CSRA TALK
360,Ferndale ACS
361,ORLANDO_FLORIDA_XLX361E/YSF361/ALLSTAR510400/
363,N4HHD - Henk
365,TGIF365
366,Porkies
367,Bottomdwellers
368,Cuba TGIF Group
369,FusionNet
370,RESENHA DIGITAL
373,TGIF 373
374,Trinidad and Tobago
377,PARC RADIO
381,M7TNO 
386,Digital Voice DMR
390,W4JMD NC 390
391,W4JMD NC 390+123
392,W4JMD 390+123
399,Cardinal Talk Mesa AZ XLX399
400,UAV Talk
401,Anytone 578 &amp; 878
402,Northeast Nebraska
403,N3LF Mid TN
404,404 Not Found
405,Lake Royale NC
406,Studio B
407,Outer Banks NC
409,HamLife
410,Eastern NC
411,The Carolinas
412,Raleigh
413,Sri Lanka Amateur Radio Group DMR+
414,41 for Freedom
415,The 415
416,The 416
417,Elarz
419,Kuwait
420,420 Super Freq Digital/Special K
421,CITMIL
422,dragon-dragon-dragon
424,K6KCP jimlips
425,Israel Network
426,Bahrain A92AA
431,W5CBT Group
432,Jedi Signal Corps
433,(eXit 91) AB6FD Brad
434,CVILLE
437,RAF Ramsbury 
440,Carolina 440
441,Camp Lejeune NC
442,C 440 CHAT 2
443,Northeast Hike &amp; Camp
444,Twin Rivers Amateur Radio Club
445,445 Alive
450,(TPRFN) Packet Radio Forwarding Network
451,Blue Knights International LE Motorcycle Club
452,VIETNAM
454,PR-RAW/RARE/SMOKED
455,PR Smoke House
456,Storm Chasers and Spotters
459,4040290
460,China Internet
461,China 461 TGIF
463,Koinonia
466,Bluestone Amateur Radio Club
469,DFW Metro
470,Bangladesh TGIF
473,AllStarLink DAB+ World Discussion
479,Arkansas Baptist Disaster Relief
484,Ave Maria
485,W4CQ digital system 
488,Amateur Satellites
490,EastCoast Chat
500,W6LIE
501,BBQ
502,GUATEMALA
503,El Salvador
505,Santa Fe
508,New England Roundtable 
509,Washington State
510,Indonesian Amateur
511,Dayton Ohio 
512,xplane12 and ms2020 flights
513, Outdoors Michigan
514,JP7FSO_room
515,PILIPINAS 515
517,RadioSC D-STAR and URF517 Multimode
518,ADK
520,Northern Neck Virginia
523,Metamucil Guys
525,Montrose Amateur Radio Club
527,SWCRS Southwest Community Radio System
529,Miami CQ-DX Hub
530,New Zealand ZL
531,8075AMC
545,Twisted Minds Radio
550,Calumet Radio Group
555,Beekeepers
556,ARFCOMM
559,Central Valley CA USA
565,DMR Talk
573,NC East
575,Southern New Mexico
577,myGMRS
578,SW OHIO
579,579 Interlink
585,Western New York
589,Science Talk
592,Guyana TG7592
595,KD0KAH P25
599,Radio Bug
600,Rio Rancho NM
601,Magnolia Link
602,West Valley DMR
603,GS Radio Club
604,TGIF MAROC
605,TGIF Digital youth net
606,Southeastern Kentutcky
607,Volunteer Examiners VEs
608,Multi conferenza Roma Napoli 
609,AREA 609
610, Zone of action DMR Ocala FL
611,Radio Corner
612,Drones
613,Ottawa The National Capital TG 613
615,Table of Wisdom
616,HAMS USA Spanish
618,618Comms
623,Space Coast Florida Area
625,XLX625 CQ-Michigan
629, Patriots Corner Lowcountry Way
631,W2YMM_HUB
634,Yamanashi-EMR
638,WP4QPP-PR
640,DMR Support
650,CaribLink
654,N2FED Repeater System
661,Tehachapi CA
662,DixieDMR
664,DAD TALK NET 
665,TGIF HamCation Group
666,HAMS &amp; the Paranormal
677,Park2Park Network
678,678
681,NIGHT CRAWLER NET
690,KOOLBEANZ 69ZERO GROUP
692,WP4QPZ-R
693,QQ-NET
696,URS Ottawa Ontario Amateur Radio Club
700,Albuquerque NM
701,OPLive Live PD 
702,702
704,Carolina Storm Spotters
705,PeterboroughARC
706,Dogpound
707,Rural Minnesota
708,North Dakota
709,Fargo ND
710,Nicaragua 
711,The Las Vegas Connection
712,Costa Rica
713,Houston Metro
715,Nakoso
716,Peru
717,DMR-717
718,The Fusion Net 
720,Colorado 720 Interlink
721,OZARC NET
724,Brazil
725,SALA DOS BRASILEIROS
726,Alamo City TGIF
727,Illinois Search and Rescue
728,South Florida - WPBARG
730,Chile
732,ZONA HJ Y HK
733,PINELLAS
734,MCC VENEZUELA
735,BuddingHams
737,Flight Simulator Enthusiasts
738,VU2HS
740,Drinking Water Operator Network
741,SevenFortyOne
744,BAY AREA RADIO CLUB
747,ADS-B Planespotting
750,Gaston County ARES
753,KARG North Grenville
754,SC-HoneyBadgers
755,NTX Texoma
756,Ham Radio Life
757,Southeastern Virginia 
758,YYG 758
762,Hammocks and Overlanding
765,AZ Cacti
767,Airline Pilots
772,Team Coast Guard
781,GB7XN
784,ST VINCENT 
787,MS Flight Simulator 2020
788,The Big Kahuna
789,SCARC OPS
791,FTS EHIME HAM CLUB
797,TexasGMRS Network
798,BOYSCOUT TOKYO KITA1
799,hamradiohack
800,Central Indiana D M R
801,MI-UT Link
802,Ham Garage
803,Satellite Busters Garage
805,US-RocketCity-AL
806,TG Group 806
807,JE1ZTA  Daikon Club 
808,808
809,Chruch Security
810,All-R-WELCOME
811,Oakland County Skywarn
812,Kids on the air KOTA
813,Good Old Boys MI
814,Western Pennsylvania DMR 
815,Fun Machine Linked Repeater System
818,XLX818
819,CCO
823,XLX823
824,Lids of Discord
825,NWMG
826,MK&amp;S ham club
828,WNC-link
831,Santa Cruz
835,Catskill Hamsters
838,Overland Bound 
839,Outlaws Radio Network
840,Patriot Radio Network
841,ORN Special Operations
842,United States Radio Club
843,Grand Strand Talk
845,Ham and Tech
846,POTA Home
847,North Shore Hamsters
850,Florida Panhandle Ragchew
851,ZMR Group 851
852,LONG ISLAND DMR NETWORK
855,Casa Grande-Maricopa MARA
863,Hardee County FL Radio Group
864,SC Upstate
865,Knoxville Digital Group
868,dragon dragon dragon
869,Paranormal Net
870,The Arkansas Round Table
872,Right Wing Politics
880,NeoLink
886,Dragons upon dragons upon dragons
888,Mike's Playhouse
889,Lucky LMR
890,89 Radio Club JAPAN
893,893 Net Japan
900,ZMR Group 900
901,Memphis TN Metro
902,900 MHz
903,TARA-TAC
904,Atrandom-Kure Hiroshima 904
906,KC8NWS Yooper Amateur Radio Club 
907,JOTA
909,Samson Collective
910,Cape Fear Amateur Radio Society
911,Emergencias Zello
912,GRANADA
915,WW-Portuguese
916,kettering and Distric Amateur radio Society
918,Tulsa Oklahoma Metro
919,OCRA (NC)
925,The Working Crew
927,Maryland Crab Cakes Hub
928,The Kingman's Table
930,PAN HELLENIC
931,ARESMCTN
932,Decamps
936,VARG
938,XLX138 Thailand
941,Sarasota and Manatee County Florida
945,The Parkway
946,K2FTS
949,JJ2ZAA Q-chan CQ
950,TG 950 
951,IE
960,PWH-NorCal
961,Beirut
966,North country rag chew
970,Ole Virginia Hams
973,CEEN
974,974 ALT.
980,Lino's Corner
985,ARCCC Inc.
986,ctga
987,Tehachapi Area Radio Reflector
988,MidMichigan
989,BAARC / Bay City Michigan
993,BurningStarIV
994,G3AGM group reflector
995,BARTS Tucson-Cowpaddy-Fishook 995
997,NC3M Allstar Digital Bridge
999,Italy
1000,DXMarathon
1001,Central Texas Crossroads
1004,Palm Springs / Coachella Valley
1007,Harley Hangout
1008,TAC 1007
1010,WWARC
1014,SWFL LEE
1015,Uk Digital Ham Radio Station
1017,M17 project
1020,RDC rede digital de comunicação
1021,Western Colorado Amateur Radio Club
1022,Northwest Colorado ARES Region 9 
1023,SAILORTG
1024,Northeast Colorado ARES Region 3 District 3
1025,Georgia Tacnet 1025
1033,The Scanner Junkies
1050,NC3M Allstar-DMR Bridge
1055,Oeiras
1056,Guarda 1056 Portugal
1059,(SWRClub)
1097,NC3M Digital Multimode Bridge
1105,US-D-Friends
1111,Cw morse code
1113,DMR Friends
1114,STARFIELD
1115,D-Friends Network
1119,Knights Templar
1120,EMERGENCIAS ANDALUCIA
1122,Internet Hams
1130,Free Style AMC
1138,Resistance Radio
1155,K4NCU Link System
1169,Northern Maine TalkGroup
1173,Vegas Digi
1182,Lannom Family
1196,Tim Miller Memorial Club
1198,RETASO ALLIED HAMS
1207,Mid Maine
1212,DAH DIT DAH
1218,JS1YTM Katsuura TANTAN
1222,West Alabama Hams
1223,STCARC
1225,Railfanning/heads up
1234,MAREMAGNUM
1251,Siquijor Island Philippines
1257,GB-LADAR
1259,Nature Coast Gigacycles
1260,M1ke users group
1277,LACDCS
1306,Old School Radio Society
1307,VK4 QLD Australia
1313,Motorcycle and 3 wheel talk
1316,Skywarn Oklahoma
1317,MAGNET-HF
1320,Kentucky Courage
1325,8 USC 1325 LEO/EMS W7BPA
1330,The Trapline
1335,Maritimes 
1337,1337 sp34k
1345,Gunzels
1360,FL/GA Group
1367,Nagano-Iida DMR Digi
1371,Aussie Truckies
1375,Whiskey Tango Foxtrot
1393,Hatsune Miku Voip circle
1401,Southern WV Boys
1433,Ham Hang Out
1440,羽黒ルーム
1442,Southeast VHF SSB
1453,turk konferans odasi 
1458,Isle Of Avalon 
1468,CENTRAL COAST WYONG DownUnder
1488,FCC Big Dumb
1508,Cape Cod 
1509,FOG
1521,Toyota Overland
1527,Wheel Tappers and Shunters Club
1529,stokie oatcakes 1979
1538,Friends of 538
1555,W4OTS-Western North Carolina Special Events
1608,YJE VoIP_Link_Group
1613,The Rubber Boot Net 
1616,TA HAMRADİO
1635,TBLabs Amateur Radio Club
1701,Out Of This World
1717,DroidStarNet
1745,US Patriots
1752,Electricians
1765,Liberty Preppers Network
1775,SFMF
1776,PrepperNet
1777,MPURN
1778,Appalachian Irregulars
1784,J88HAMS
1786,Georgia Freemasons
1787,The Shop
1789,AmRRON
1801,SC Gamecock talk
1804,Haiti - Independence
1818,Chaverim Radio Club
1829,CougarNet Digital Radio
1835,The Mark Twain Connection
1836,Arkansas 
1841,CQ-Michigan
1842,The Citadel
1860,Classical Music
1861,GSOCS
1863,Carolina Coast to The Coalfields EMCOMM TalkGroup
1864,Nevada- The Battle Born State
1866,Southeast On The Road
1870,CLUB CHAT
1873,SASS Cowboy Action Shooting
1879,KURVY
1881,King George Amateur Radio Operators
1900,3 DISTRITO ESCOTEIRO SAO PAULO DE PIRATININGA
1901,Alabama Prepper Survival Talk group 
1907,Scout Radio Network
1909,Sam's Corner
1911,Midnight Madness 
1912,Arizona Cactus Link
1914,SCAN Nevada
1915,El Paso DMR
1919,American Legion Department of North Carolina
1928,Motorola Enthusiast
1934,Philosophy/Literature Ham
1938,Bury Radio Society
1939,NIARA
1940,CenTex CrossRoads
1942,AMATEURS LEARNING JOURNEY
1945,WW 2 History
1947,UFO (UAP) Witness Group
1948,ohenrosan
1950,DBVS / CONQUIS / PATHFINDERS
1952,Amplitude Modulation International
1953,Ham Radio Pisa
1954,R.A.V. 
1957,Sci Chat Science Discussion
1960,CO/TN
1961,9J2RD_TEST
1963,PAUSE-FOR-THE-CAUSE
1964,Atlantic Amateur Radio Society - Channel 1
1965,ik1icf
1966,1966 RADIO CLUB
1967,Concho Valley
1968,304 Park Chasers
1969,Baofeng Boiz
1970,Atlantic Amateur Radio Society - Channel 2
1971,Midlands Talk
1972,DXHAMS Amateur Radio Group
1973,Washington State Hams
1975,BosNET
1976,Hamr
1978,Mohave-Link
1979,Kentuckiana
1980,AmateurWire
1981,NASA - Space / Ground Communications
1983,Stubblefield Repeater Club
1984,NEW HAMPSHIRE UNDERGROUND
1985,N4RMZ BR
1989,
1990,YOUNG HAMS HANGOUT SPOT
1992,Welsh-Connections
1993,KD2RPP ROOM 
1994,I-LOVE-DMR
1995,Connecticut State Wide
1996,Rhode Island State Wide
1997,Vermont State Wide
1998,Massachusetts State Wide
1999,New Hampshire State Wide
2000,Maine State Wide
2001,Heady Music Chat
2002,AKDENIZ RADYO AMATORLERI
2003,turk konferans
2004,Linux Talk
2005,SKYWARN OF MAINE
2009,Motorcycle Hams
2013,GB13COL
2014,Bartlesville Stake DMR EmComm Network
2016,GRIMES COUNTY TX
2017,Easy to Hear Nite Chat
2020,Economics beer and conspiracies
2021,Free Speech Radio
2022,Patriot 
2023,SMD 
2024,LETS GO BRANDON
2025,HELLAS - RHODES - DODECANESE ISLAND
2026,HELLAS - EPIRUS 
2027,Hellas-2027
2028,HELLAS - AEGEAN SEA ISLAND
2029,HELLAS CREETE
2041,Netherlands
2042,Kingston Chat - Wayne
2045,The Chatter Box
2054,Lanarkshire Live
2061,BELGIUM FLEMISCH
2069,D STAR HF
2091,Klamath County ARES
2100,100 Watts and a Wire
2101,HCARA
2107,Lada Poland Club
2111,Zicsi
2112,Drummers Worldwide
2116,English Squark Box
2120,TG-2120
2121,ZL2BBC-Allstar link
2133,2MC
2135,Somos Latinos USA
2140,SPAIN-LINK
2143,Regional Catalunya
2145,EARadio
2146,TG BALEARES 
2147,SALA ANDALUCIA
2165,K6JWN AllStar Bridge Node 2165
2170,The Oregon Trail
2171,Model Railroading
2182,AIS and vessel tracking
2200,Oz Cafe
2211,Fat Bike
2215,New Mexico ZERT
2222,Youth Link
2236,Digital Talk ITA
2241,TGIF Cyber Veins official TG - TEST
2242,Fed United DMR
2249,Sicilia
2250,Procida Island
2261,District YO Romania
2262,YO-Banat
2263,District YO3 - Romania
2265,TG ARDEALUL
2266,BridgeCom
2272,D7AUXTAC
2280,Antique Radio Restoration
2281,Suisse romande
2322,Salisbury Ham Radio Club UK
2323,Ghost Spirits Demons &amp; Paranormal 
2327,Tirol
2340,The Black Sheep Pub
2345,CQ North
2348,Grumpy Old Gits
2350,UK ChatterBOX 
2351,CQ-UK World Wide Wires-X 27793
2352,UK ChatterBOX Chat 2
2353,UK ChatterBOX Chat 3
2354,UK ChatterBOX Chat 4
2355,Scotland
2356,Wales
2357,ISLE of MAN
2358,Digital England
2359,Night Owls Nook
2368,BDRG
2376,AFRN
2378,CERT
2380,UK Chat 1
2381,UK Chat 2
2382,UK Chat 3
2383,UK Chat 4
2384,UK Chat 5
2400,Disc Golf Worldwide
2401,JH9ZAV Group
2403,
2405,Sweden SM5
2406,Sweden SM6 2406
2407,Sweden SM7
2408,Teknik
2410,BARF Benzie Amateur Radio Friends
2413,MRI BRIDGE - ALLSTAR 59460
2416,D7AUXCOMM 
2424,R2D3PO
2428,BitByBitHams
2442,ConquestArms
2450,Gifu Mizuho DMR
2451,BAGNOLI RADIO OM NAPOLI SUD ITALIA 
2473,Baltimore Orioles
2500,The Hide Out 
2501,Russia
2507,RnD-61
2516,Useful tips
2525,TG2525
